CID,Capítulo,Descrição,Codigo
A068,Algumas doenças infecciosas e parasitárias,Infecção amebiana de outras localizações,A068 - Infecção amebiana de outras localizações
A069,Algumas doenças infecciosas e parasitárias,Amebíase não especificada,A069 - Amebíase não especificada
A07,Algumas doenças infecciosas e parasitárias,Outras doenças intestinais por protozoários,A07 - Outras doenças intestinais por protozoários
A070,Algumas doenças infecciosas e parasitárias,Balantidíase,A070 - Balantidíase
A071,Algumas doenças infecciosas e parasitárias,Giardíase [lamblíase],A071 - Giardíase [lamblíase]
A072,Algumas doenças infecciosas e parasitárias,Criptosporidiose,A072 - Criptosporidiose
A073,Algumas doenças infecciosas e parasitárias,Isosporíase,A073 - Isosporíase
A078,Algumas doenças infecciosas e parasitárias,Outras doenças intestinais especificadas por protozoários,A078 - Outras doenças intestinais especificadas por protozoários
A079,Algumas doenças infecciosas e parasitárias,Doença intestinal não especificada por protozoários,A079 - Doença intestinal não especificada por protozoários
A08,Algumas doenças infecciosas e parasitárias,"Infecções intestinais virais, outras e as não especificadas","A08 - Infecções intestinais virais, outras e as não especificadas"
A080,Algumas doenças infecciosas e parasitárias,Enterite por rotavírus,A080 - Enterite por rotavírus
A081,Algumas doenças infecciosas e parasitárias,Gastroenteropatia aguda pelo agente de Norwalk,A081 - Gastroenteropatia aguda pelo agente de Norwalk
A082,Algumas doenças infecciosas e parasitárias,Enterite por adenovírus,A082 - Enterite por adenovírus
A083,Algumas doenças infecciosas e parasitárias,Outras enterites virais,A083 - Outras enterites virais
A084,Algumas doenças infecciosas e parasitárias,Infecção intestinal devida a vírus não especificado,A084 - Infecção intestinal devida a vírus não especificado
A085,Algumas doenças infecciosas e parasitárias,Outras infecções intestinais especificadas,A085 - Outras infecções intestinais especificadas
A09,Algumas doenças infecciosas e parasitárias,Diarréia e gastroenterite de origem infecciosa presumível,A09 - Diarréia e gastroenterite de origem infecciosa presumível
A15,Algumas doenças infecciosas e parasitárias,"Tuberculose respiratória, com confirmação bacteriológica e histológica","A15 - Tuberculose respiratória, com confirmação bacteriológica e histológica"
A150,Algumas doenças infecciosas e parasitárias,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura","A150 - Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura"
A151,Algumas doenças infecciosas e parasitárias,"Tuberculose pulmonar, com confirmação somente por cultura","A151 - Tuberculose pulmonar, com confirmação somente por cultura"
A152,Algumas doenças infecciosas e parasitárias,"Tuberculose pulmonar, com confirmação histológica","A152 - Tuberculose pulmonar, com confirmação histológica"
A153,Algumas doenças infecciosas e parasitárias,"Tuberculose pulmonar, com confirmação por meio não especificado","A153 - Tuberculose pulmonar, com confirmação por meio não especificado"
A154,Algumas doenças infecciosas e parasitárias,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica","A154 - Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica"
A155,Algumas doenças infecciosas e parasitárias,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica","A155 - Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica"
A156,Algumas doenças infecciosas e parasitárias,"Pleuris tuberculoso, com confirmação bacteriológica e histológica","A156 - Pleuris tuberculoso, com confirmação bacteriológica e histológica"
A157,Algumas doenças infecciosas e parasitárias,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica","A157 - Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica"
A158,Algumas doenças infecciosas e parasitárias,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica","A158 - Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica"
A159,Algumas doenças infecciosas e parasitárias,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica","A159 - Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica"
A16,Algumas doenças infecciosas e parasitárias,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A16 - Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica"
A160,Algumas doenças infecciosas e parasitárias,Tuberculose pulmonar com exames bacteriológico e histológico negativos,A160 - Tuberculose pulmonar com exames bacteriológico e histológico negativos
A161,Algumas doenças infecciosas e parasitárias,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico","A161 - Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico"
A162,Algumas doenças infecciosas e parasitárias,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica","A162 - Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica"
A163,Algumas doenças infecciosas e parasitárias,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica","A163 - Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica"
A164,Algumas doenças infecciosas e parasitárias,"Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica","A164 - Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica"
A165,Algumas doenças infecciosas e parasitárias,"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica","A165 - Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica"
A167,Algumas doenças infecciosas e parasitárias,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica,A167 - Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica
A168,Algumas doenças infecciosas e parasitárias,"Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica","A168 - Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica"
A169,Algumas doenças infecciosas e parasitárias,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica","A169 - Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica"
A17,Algumas doenças infecciosas e parasitárias,Tuberculose do sistema nervoso,A17 - Tuberculose do sistema nervoso
A170,Algumas doenças infecciosas e parasitárias,Meningite tuberculosa,A170 - Meningite tuberculosa
A171,Algumas doenças infecciosas e parasitárias,Tuberculoma meníngeo,A171 - Tuberculoma meníngeo
A178,Algumas doenças infecciosas e parasitárias,Outras tuberculoses do sistema nervoso,A178 - Outras tuberculoses do sistema nervoso
A179,Algumas doenças infecciosas e parasitárias,Tuberculose não especificada do sistema nervoso,A179 - Tuberculose não especificada do sistema nervoso
A18,Algumas doenças infecciosas e parasitárias,Tuberculose de outros órgãos,A18 - Tuberculose de outros órgãos
A180,Algumas doenças infecciosas e parasitárias,Tuberculose óssea e das articulações,A180 - Tuberculose óssea e das articulações
A181,Algumas doenças infecciosas e parasitárias,Tuberculose do aparelho geniturinário,A181 - Tuberculose do aparelho geniturinário
A182,Algumas doenças infecciosas e parasitárias,Linfadenopatia tuberculosa periférica,A182 - Linfadenopatia tuberculosa periférica
A183,Algumas doenças infecciosas e parasitárias,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos","A183 - Tuberculose do intestino, do peritônio e dos gânglios mesentéricos"
A184,Algumas doenças infecciosas e parasitárias,Tuberculose de pele e do tecido celular subcutâneo,A184 - Tuberculose de pele e do tecido celular subcutâneo
A185,Algumas doenças infecciosas e parasitárias,Tuberculose do olho,A185 - Tuberculose do olho
A186,Algumas doenças infecciosas e parasitárias,Tuberculose do ouvido,A186 - Tuberculose do ouvido
A187,Algumas doenças infecciosas e parasitárias,Tuberculose das supra,A187 - Tuberculose das supra
A188,Algumas doenças infecciosas e parasitárias,Tuberculose de outros órgãos especificados,A188 - Tuberculose de outros órgãos especificados
A19,Algumas doenças infecciosas e parasitárias,Tuberculose miliar,A19 - Tuberculose miliar
A190,Algumas doenças infecciosas e parasitárias,Tuberculose miliar aguda de localização única e especificada,A190 - Tuberculose miliar aguda de localização única e especificada
A191,Algumas doenças infecciosas e parasitárias,Tuberculose miliar aguda de múltiplas localizações,A191 - Tuberculose miliar aguda de múltiplas localizações
A192,Algumas doenças infecciosas e parasitárias,Tuberculose miliar aguda não especificada,A192 - Tuberculose miliar aguda não especificada
A198,Algumas doenças infecciosas e parasitárias,Outras tuberculoses miliares,A198 - Outras tuberculoses miliares
A199,Algumas doenças infecciosas e parasitárias,Tuberculose miliar não especificada,A199 - Tuberculose miliar não especificada
A20,Algumas doenças infecciosas e parasitárias,Peste,A20 - Peste
A200,Algumas doenças infecciosas e parasitárias,Peste bubônica,A200 - Peste bubônica
A201,Algumas doenças infecciosas e parasitárias,Peste celulocutânea,A201 - Peste celulocutânea
A202,Algumas doenças infecciosas e parasitárias,Peste pneumônica,A202 - Peste pneumônica
A203,Algumas doenças infecciosas e parasitárias,Peste meníngea,A203 - Peste meníngea
A207,Algumas doenças infecciosas e parasitárias,Peste septicêmica,A207 - Peste septicêmica
A208,Algumas doenças infecciosas e parasitárias,Outras formas de peste,A208 - Outras formas de peste
A209,Algumas doenças infecciosas e parasitárias,"Peste, forma não especificada","A209 - Peste, forma não especificada"
A21,Algumas doenças infecciosas e parasitárias,Tularemia,A21 - Tularemia
A210,Algumas doenças infecciosas e parasitárias,Tularemia ulceroglandular,A210 - Tularemia ulceroglandular
A211,Algumas doenças infecciosas e parasitárias,Tularemia oculoglandular,A211 - Tularemia oculoglandular
A212,Algumas doenças infecciosas e parasitárias,Tularemia pulmonar,A212 - Tularemia pulmonar
A213,Algumas doenças infecciosas e parasitárias,Tularemia gastrointestinal,A213 - Tularemia gastrointestinal
A217,Algumas doenças infecciosas e parasitárias,Tularemia generalizada,A217 - Tularemia generalizada
A218,Algumas doenças infecciosas e parasitárias,Outras formas de tularemia,A218 - Outras formas de tularemia
A219,Algumas doenças infecciosas e parasitárias,"Tularemia, forma não especificada","A219 - Tularemia, forma não especificada"
A22,Algumas doenças infecciosas e parasitárias,Carbúnculo,A22 - Carbúnculo
A220,Algumas doenças infecciosas e parasitárias,Carbúnculo cutâneo,A220 - Carbúnculo cutâneo
A221,Algumas doenças infecciosas e parasitárias,Carbúnculo pulmonar,A221 - Carbúnculo pulmonar
A222,Algumas doenças infecciosas e parasitárias,Carbúnculo gastrointestinal,A222 - Carbúnculo gastrointestinal
A227,Algumas doenças infecciosas e parasitárias,Septicemia carbunculosa,A227 - Septicemia carbunculosa
A228,Algumas doenças infecciosas e parasitárias,Outras formas de carbúnculo,A228 - Outras formas de carbúnculo
A229,Algumas doenças infecciosas e parasitárias,"Carbúnculo, forma não especificada","A229 - Carbúnculo, forma não especificada"
A23,Algumas doenças infecciosas e parasitárias,Brucelose,A23 - Brucelose
A230,Algumas doenças infecciosas e parasitárias,Brucelose por Brucella melitensis,A230 - Brucelose por Brucella melitensis
A231,Algumas doenças infecciosas e parasitárias,Brucelose por Brucella abortus,A231 - Brucelose por Brucella abortus
A232,Algumas doenças infecciosas e parasitárias,Brucelose por Brucella suis,A232 - Brucelose por Brucella suis
A233,Algumas doenças infecciosas e parasitárias,Brucelose por Brucella canis,A233 - Brucelose por Brucella canis
A238,Algumas doenças infecciosas e parasitárias,Outras bruceloses,A238 - Outras bruceloses
A239,Algumas doenças infecciosas e parasitárias,Brucelose não especificada,A239 - Brucelose não especificada
A24,Algumas doenças infecciosas e parasitárias,Mormo e melioidose,A24 - Mormo e melioidose
A240,Algumas doenças infecciosas e parasitárias,Mormo,A240 - Mormo
A241,Algumas doenças infecciosas e parasitárias,Melioidose aguda e fulminante,A241 - Melioidose aguda e fulminante
A242,Algumas doenças infecciosas e parasitárias,Melioidose subaguda e crônica,A242 - Melioidose subaguda e crônica
A243,Algumas doenças infecciosas e parasitárias,Outras melioidoses,A243 - Outras melioidoses
A244,Algumas doenças infecciosas e parasitárias,Melioidose não especificada,A244 - Melioidose não especificada
A25,Algumas doenças infecciosas e parasitárias,Febres transmitidas por mordedura de rato,A25 - Febres transmitidas por mordedura de rato
A250,Algumas doenças infecciosas e parasitárias,Espirilose,A250 - Espirilose
A251,Algumas doenças infecciosas e parasitárias,Estreptobacilose,A251 - Estreptobacilose
A259,Algumas doenças infecciosas e parasitárias,"Febre transmitida por mordedura de rato, tipo não especificado","A259 - Febre transmitida por mordedura de rato, tipo não especificado"
A26,Algumas doenças infecciosas e parasitárias,Erisipelóide,A26 - Erisipelóide
A260,Algumas doenças infecciosas e parasitárias,Erisipelóide cutâneo,A260 - Erisipelóide cutâneo
A267,Algumas doenças infecciosas e parasitárias,Septicemia por Erysipelothrix,A267 - Septicemia por Erysipelothrix
A268,Algumas doenças infecciosas e parasitárias,Outras formas de erisipelóide,A268 - Outras formas de erisipelóide
A269,Algumas doenças infecciosas e parasitárias,Erisipelóide não especificado,A269 - Erisipelóide não especificado
A27,Algumas doenças infecciosas e parasitárias,Leptospirose,A27 - Leptospirose
A270,Algumas doenças infecciosas e parasitárias,Leptopirose icterohemorrágica,A270 - Leptopirose icterohemorrágica
A278,Algumas doenças infecciosas e parasitárias,Outras formas de leptospirose,A278 - Outras formas de leptospirose
A279,Algumas doenças infecciosas e parasitárias,Leptospirose não especificada,A279 - Leptospirose não especificada
A28,Algumas doenças infecciosas e parasitárias,Outras doenças bacterianas zoonóticas não classificadas em outra parte,A28 - Outras doenças bacterianas zoonóticas não classificadas em outra parte
A280,Algumas doenças infecciosas e parasitárias,Pasteurelose,A280 - Pasteurelose
A281,Algumas doenças infecciosas e parasitárias,Doença por arranhadura do gato,A281 - Doença por arranhadura do gato
A282,Algumas doenças infecciosas e parasitárias,Yersiniose extra,A282 - Yersiniose extra
A288,Algumas doenças infecciosas e parasitárias,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte,A288 - Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte
A289,Algumas doenças infecciosas e parasitárias,Doença bacteriana zoonótica não especificada,A289 - Doença bacteriana zoonótica não especificada
A30,Algumas doenças infecciosas e parasitárias,Hanseníase [doença de Hansen] [lepra],A30 - Hanseníase [doença de Hansen] [lepra]
A300,Algumas doenças infecciosas e parasitárias,Hanseníase [lepra] indeterminada,A300 - Hanseníase [lepra] indeterminada
A301,Algumas doenças infecciosas e parasitárias,Hanseníase [lepra] tuberculóide,A301 - Hanseníase [lepra] tuberculóide
A302,Algumas doenças infecciosas e parasitárias,Hanseníase [lepra] tuberculóide borderline,A302 - Hanseníase [lepra] tuberculóide borderline
A303,Algumas doenças infecciosas e parasitárias,Hanseníase [lepra] dimorfa,A303 - Hanseníase [lepra] dimorfa
A304,Algumas doenças infecciosas e parasitárias,Hanseníase [lepra] lepromatosa borderline,A304 - Hanseníase [lepra] lepromatosa borderline
A305,Algumas doenças infecciosas e parasitárias,Hanseníase [lepra] lepromatosa,A305 - Hanseníase [lepra] lepromatosa
A308,Algumas doenças infecciosas e parasitárias,Outras formas de hanseníase [lepra],A308 - Outras formas de hanseníase [lepra]
A309,Algumas doenças infecciosas e parasitárias,Hanseníase [lepra] não especificada,A309 - Hanseníase [lepra] não especificada
A31,Algumas doenças infecciosas e parasitárias,Infecções devidas a outras micobactérias,A31 - Infecções devidas a outras micobactérias
A310,Algumas doenças infecciosas e parasitárias,Infecção pulmonar micobacteriana,A310 - Infecção pulmonar micobacteriana
A311,Algumas doenças infecciosas e parasitárias,Infecção cutânea micobacteriana,A311 - Infecção cutânea micobacteriana
A318,Algumas doenças infecciosas e parasitárias,Outras infecções micobacterianas,A318 - Outras infecções micobacterianas
A319,Algumas doenças infecciosas e parasitárias,Infecção micobacteriana não especificada,A319 - Infecção micobacteriana não especificada
A32,Algumas doenças infecciosas e parasitárias,Listeriose [listeríase],A32 - Listeriose [listeríase]
A320,Algumas doenças infecciosas e parasitárias,Listeriose cutânea,A320 - Listeriose cutânea
A321,Algumas doenças infecciosas e parasitárias,Meningite e meningoencefalite por listéria,A321 - Meningite e meningoencefalite por listéria
A327,Algumas doenças infecciosas e parasitárias,Septicemia listeriótica,A327 - Septicemia listeriótica
A328,Algumas doenças infecciosas e parasitárias,Outras formas de listeriose,A328 - Outras formas de listeriose
A329,Algumas doenças infecciosas e parasitárias,Listeriose não especificada,A329 - Listeriose não especificada
A33,Algumas doenças infecciosas e parasitárias,Tétano do recém,A33 - Tétano do recém
A34,Algumas doenças infecciosas e parasitárias,Tétano obstétrico,A34 - Tétano obstétrico
A35,Algumas doenças infecciosas e parasitárias,Outros tipos de tétano,A35 - Outros tipos de tétano
A36,Algumas doenças infecciosas e parasitárias,Difteria,A36 - Difteria
A360,Algumas doenças infecciosas e parasitárias,Difteria faríngea,A360 - Difteria faríngea
A361,Algumas doenças infecciosas e parasitárias,Difteria nasofaríngea,A361 - Difteria nasofaríngea
A362,Algumas doenças infecciosas e parasitárias,Difteria laríngea,A362 - Difteria laríngea
A363,Algumas doenças infecciosas e parasitárias,Difteria cutânea,A363 - Difteria cutânea
A368,Algumas doenças infecciosas e parasitárias,Outras formas de difteria,A368 - Outras formas de difteria
A369,Algumas doenças infecciosas e parasitárias,Difteria não especificada,A369 - Difteria não especificada
A37,Algumas doenças infecciosas e parasitárias,Coqueluche,A37 - Coqueluche
A370,Algumas doenças infecciosas e parasitárias,Coqueluche por Bordetella pertussis,A370 - Coqueluche por Bordetella pertussis
A371,Algumas doenças infecciosas e parasitárias,Coqueluche por Bordetella parapertussis,A371 - Coqueluche por Bordetella parapertussis
A378,Algumas doenças infecciosas e parasitárias,Coqueluche por outras espécies da Bordetella,A378 - Coqueluche por outras espécies da Bordetella
A379,Algumas doenças infecciosas e parasitárias,Coqueluche não especificada,A379 - Coqueluche não especificada
A38,Algumas doenças infecciosas e parasitárias,Escarlatina,A38 - Escarlatina
A39,Algumas doenças infecciosas e parasitárias,Infecção meningogócica,A39 - Infecção meningogócica
A390,Algumas doenças infecciosas e parasitárias,Meningite meningocócica,A390 - Meningite meningocócica
A391,Algumas doenças infecciosas e parasitárias,Síndrome de Waterhouse,A391 - Síndrome de Waterhouse
A392,Algumas doenças infecciosas e parasitárias,Meningococcemia aguda,A392 - Meningococcemia aguda
A393,Algumas doenças infecciosas e parasitárias,Meningococcemia crônica,A393 - Meningococcemia crônica
A394,Algumas doenças infecciosas e parasitárias,Meningococcemia não especificada,A394 - Meningococcemia não especificada
A395,Algumas doenças infecciosas e parasitárias,Cardite por meningococos,A395 - Cardite por meningococos
A398,Algumas doenças infecciosas e parasitárias,Outras infecções por meningococos,A398 - Outras infecções por meningococos
A399,Algumas doenças infecciosas e parasitárias,Infecção meningocócica não especificada,A399 - Infecção meningocócica não especificada
A40,Algumas doenças infecciosas e parasitárias,Septicemia estreptocócica,A40 - Septicemia estreptocócica
A400,Algumas doenças infecciosas e parasitárias,Septicemia por Streptococcus do grupo A,A400 - Septicemia por Streptococcus do grupo A
A401,Algumas doenças infecciosas e parasitárias,Septicemia por Streptococcus do grupo B,A401 - Septicemia por Streptococcus do grupo B
A402,Algumas doenças infecciosas e parasitárias,Septicemia por Streptococcus do grupo D,A402 - Septicemia por Streptococcus do grupo D
A403,Algumas doenças infecciosas e parasitárias,Septicemia por Streptococcus pneumonia,A403 - Septicemia por Streptococcus pneumonia
A408,Algumas doenças infecciosas e parasitárias,Outras septicemias estreptocócicas,A408 - Outras septicemias estreptocócicas
A409,Algumas doenças infecciosas e parasitárias,Septicemia estreptocócica não especificada,A409 - Septicemia estreptocócica não especificada
A41,Algumas doenças infecciosas e parasitárias,Outras septicemias,A41 - Outras septicemias
A410,Algumas doenças infecciosas e parasitárias,Septicemia por Staphylococcus aureus,A410 - Septicemia por Staphylococcus aureus
A411,Algumas doenças infecciosas e parasitárias,Septicemia por outros estafilococos especificados,A411 - Septicemia por outros estafilococos especificados
A412,Algumas doenças infecciosas e parasitárias,Septicemia por estafilococos não especificados,A412 - Septicemia por estafilococos não especificados
A413,Algumas doenças infecciosas e parasitárias,Septicemia por Haemophilus influenzae,A413 - Septicemia por Haemophilus influenzae
A414,Algumas doenças infecciosas e parasitárias,Septicemia por anaeróbios,A414 - Septicemia por anaeróbios
A415,Algumas doenças infecciosas e parasitárias,Septicemia por outros microorganismos gram,A415 - Septicemia por outros microorganismos gram
A418,Algumas doenças infecciosas e parasitárias,Outras septicemias especificadas,A418 - Outras septicemias especificadas
A419,Algumas doenças infecciosas e parasitárias,Septicemia não especificada,A419 - Septicemia não especificada
A42,Algumas doenças infecciosas e parasitárias,Actinomicose,A42 - Actinomicose
A420,Algumas doenças infecciosas e parasitárias,Actinomicose pulmonar,A420 - Actinomicose pulmonar
A421,Algumas doenças infecciosas e parasitárias,Actinomicose abdominal,A421 - Actinomicose abdominal
A422,Algumas doenças infecciosas e parasitárias,Actinomicose cervicofacial,A422 - Actinomicose cervicofacial
A427,Algumas doenças infecciosas e parasitárias,Septicemia actinomicótica,A427 - Septicemia actinomicótica
A428,Algumas doenças infecciosas e parasitárias,Outras formas de actinomicose,A428 - Outras formas de actinomicose
A429,Algumas doenças infecciosas e parasitárias,Actinomicose não especificada,A429 - Actinomicose não especificada
A43,Algumas doenças infecciosas e parasitárias,Nocardiose,A43 - Nocardiose
A430,Algumas doenças infecciosas e parasitárias,Nocardiose pulmonar,A430 - Nocardiose pulmonar
A431,Algumas doenças infecciosas e parasitárias,Nocardiose cutânea,A431 - Nocardiose cutânea
A438,Algumas doenças infecciosas e parasitárias,Outras formas de nocardiose,A438 - Outras formas de nocardiose
A439,Algumas doenças infecciosas e parasitárias,Nocardiose não especificada,A439 - Nocardiose não especificada
A44,Algumas doenças infecciosas e parasitárias,Bartonelose,A44 - Bartonelose
A440,Algumas doenças infecciosas e parasitárias,Bartonelose sistêmica,A440 - Bartonelose sistêmica
A441,Algumas doenças infecciosas e parasitárias,Bartonelose cutânea e cutâneo,A441 - Bartonelose cutânea e cutâneo
A448,Algumas doenças infecciosas e parasitárias,Outras formas de bartonelose,A448 - Outras formas de bartonelose
A449,Algumas doenças infecciosas e parasitárias,Bartonelose não especificada,A449 - Bartonelose não especificada
